Type                  , Method      , ChunkCount , Algorithm           , Mean    , Error  , StdDev
BenchmarksIntSync     , IntSync     , 2          , BinaryArray_Sync    ,   6.321 , 0.0075 , 0.0063
BenchmarksStringSync  , StringSync  , 2          , BinaryArray_Sync    ,  19.960 , 0.0346 , 0.0323
BenchmarksIntSync     , IntSync     , 2          , BinaryLinked_Sync   ,   5.090 , 0.0080 , 0.0066
BenchmarksStringSync  , StringSync  , 2          , BinaryLinked_Sync   ,  19.587 , 0.0459 , 0.0407
BenchmarksIntAsync    , IntAsync    , 2          , PriorityQueue_Async ,   6.652 , 0.0131 , 0.0116
BenchmarksStringAsync , StringAsync , 2          , PriorityQueue_Async ,  21.825 , 0.0352 , 0.0329
BenchmarksIntSync     , IntSync     , 2          , PriorityQueue_Sync  ,   2.604 , 0.0037 , 0.0035
BenchmarksStringSync  , StringSync  , 2          , PriorityQueue_Sync  ,  16.199 , 0.0178 , 0.0158
BenchmarksIntSync     , IntSync     , 2          , SortedLinked_Sync   ,   3.943 , 0.0069 , 0.0061
BenchmarksStringSync  , StringSync  , 2          , SortedLinked_Sync   ,  17.592 , 0.0221 , 0.0206
BenchmarksIntSync     , IntSync     , 2          , SortedList_Sync     ,   5.346 , 0.0065 , 0.0061
BenchmarksStringSync  , StringSync  , 2          , SortedList_Sync     ,  18.943 , 0.0144 , 0.0121
BenchmarksIntSync     , IntSync     , 2          , SortedSet_Sync      ,  22.314 , 0.0632 , 0.0528
BenchmarksStringSync  , StringSync  , 2          , SortedSet_Sync      ,  47.531 , 0.0960 , 0.0802
BenchmarksIntAsync    , IntAsync    , 2          , SuperLinq_Async     ,   8.336 , 0.0353 , 0.0294
BenchmarksStringAsync , StringAsync , 2          , SuperLinq_Async     ,  23.479 , 0.0463 , 0.0410
BenchmarksIntSync     , IntSync     , 2          , SuperLinq_Sync      ,   2.050 , 0.0396 , 0.0370
BenchmarksStringSync  , StringSync  , 2          , SuperLinq_Sync      ,  15.058 , 0.0176 , 0.0156
BenchmarksIntSync     , IntSync     , 5          , BinaryArray_Sync    ,   8.165 , 0.0098 , 0.0087
BenchmarksStringSync  , StringSync  , 5          , BinaryArray_Sync    ,  31.820 , 0.0418 , 0.0349
BenchmarksIntSync     , IntSync     , 5          , BinaryLinked_Sync   ,   7.180 , 0.0222 , 0.0208
BenchmarksStringSync  , StringSync  , 5          , BinaryLinked_Sync   ,  31.536 , 0.1702 , 0.1421
BenchmarksIntAsync    , IntAsync    , 5          , PriorityQueue_Async ,   7.406 , 0.0087 , 0.0073
BenchmarksStringAsync , StringAsync , 5          , PriorityQueue_Async ,  43.089 , 0.0527 , 0.0493
BenchmarksIntSync     , IntSync     , 5          , PriorityQueue_Sync  ,   3.219 , 0.0048 , 0.0042
BenchmarksStringSync  , StringSync  , 5          , PriorityQueue_Sync  ,  37.991 , 0.0524 , 0.0490
BenchmarksIntSync     , IntSync     , 5          , SortedLinked_Sync   ,   4.897 , 0.0113 , 0.0106
BenchmarksStringSync  , StringSync  , 5          , SortedLinked_Sync   ,  31.242 , 0.0451 , 0.0422
BenchmarksIntSync     , IntSync     , 5          , SortedList_Sync     ,   6.745 , 0.0081 , 0.0071
BenchmarksStringSync  , StringSync  , 5          , SortedList_Sync     ,  33.257 , 0.0905 , 0.0847
BenchmarksIntSync     , IntSync     , 5          , SortedSet_Sync      ,  25.909 , 0.0468 , 0.0438
BenchmarksStringSync  , StringSync  , 5          , SortedSet_Sync      ,  76.137 , 0.1630 , 0.1525
BenchmarksIntAsync    , IntAsync    , 5          , SuperLinq_Async     ,  10.321 , 0.0165 , 0.0154
BenchmarksStringAsync , StringAsync , 5          , SuperLinq_Async     ,  46.571 , 0.0974 , 0.0864
BenchmarksIntSync     , IntSync     , 5          , SuperLinq_Sync      ,   3.698 , 0.0049 , 0.0046
BenchmarksStringSync  , StringSync  , 5          , SuperLinq_Sync      ,  38.459 , 0.0551 , 0.0489
BenchmarksIntSync     , IntSync     , 50         , BinaryArray_Sync    ,  13.756 , 0.0227 , 0.0212
BenchmarksStringSync  , StringSync  , 50         , BinaryArray_Sync    ,  61.267 , 0.1201 , 0.1065
BenchmarksIntSync     , IntSync     , 50         , BinaryLinked_Sync   ,  22.065 , 0.0480 , 0.0449
BenchmarksStringSync  , StringSync  , 50         , BinaryLinked_Sync   ,  68.802 , 0.2833 , 0.2650
BenchmarksIntAsync    , IntAsync    , 50         , PriorityQueue_Async ,  10.086 , 0.0123 , 0.0109
BenchmarksStringAsync , StringAsync , 50         , PriorityQueue_Async , 104.350 , 0.2020 , 0.1790
BenchmarksIntSync     , IntSync     , 50         , PriorityQueue_Sync  ,   5.986 , 0.0127 , 0.0118
BenchmarksStringSync  , StringSync  , 50         , PriorityQueue_Sync  ,  99.656 , 0.1785 , 0.1670
BenchmarksIntSync     , IntSync     , 50         , SortedLinked_Sync   ,  14.718 , 0.0176 , 0.0165
BenchmarksStringSync  , StringSync  , 50         , SortedLinked_Sync   , 186.160 , 0.3243 , 0.2875
BenchmarksIntSync     , IntSync     , 50         , SortedList_Sync     ,  18.256 , 0.0349 , 0.0327
BenchmarksStringSync  , StringSync  , 50         , SortedList_Sync     , 200.775 , 0.3533 , 0.3304
BenchmarksIntSync     , IntSync     , 50         , SortedSet_Sync      ,  39.534 , 0.0863 , 0.0807
BenchmarksStringSync  , StringSync  , 50         , SortedSet_Sync      , 157.396 , 0.3194 , 0.2988
BenchmarksIntAsync    , IntAsync    , 50         , SuperLinq_Async     ,  33.014 , 0.0650 , 0.0608
BenchmarksStringAsync , StringAsync , 50         , SuperLinq_Async     , 374.167 , 0.5538 , 0.4624
BenchmarksIntSync     , IntSync     , 50         , SuperLinq_Sync      ,  27.100 , 0.0306 , 0.0287
BenchmarksStringSync  , StringSync  , 50         , SuperLinq_Sync      , 362.968 , 2.7470 , 3.3736
